,swa,luo,lug,hau,amh,wol,ibo,yor,pcm,kin
luo,87.56 (0.3),76.23 (1.2),,,,,,,,
lug,87.72 (0.6),,84.52 (0.5),,,,,,,
base,87.76 (0.5),74.5 (1.3),80.17 (0.7),89.45 (0.4),70.65 (1.1),64.22 (1.3),84.85 (0.7),77.85 (0.3),87.34 (0.9),73.72 (0.7)
swa,89.64 (0.6),77.25 (1.4),81.98 (0.5),88.83 (0.2),68.89 (0.9),67.29 (1.3),84.27 (0.8),78.29 (1.0),88.04 (0.8),75.15 (1.0)
amh,86.28 (0.4),,,,78.2 (0.8),,,,,
ibo,86.83 (0.5),,,,,,87.88 (0.5),,,
pcm,86.98 (0.2),,,,,,,,87.09 (0.8),
hau,87.61 (0.6),,,91.64 (0.4),,,,,,
kin,86.98 (0.2),,,,,,,,,78.34 (1.0)
wol,87.06 (0.6),,,,,66.88 (1.7),,,,
yor,87.2 (0.4),,,,,,,83.33 (0.3),,
