,hau Evaled on,amh Evaled on,lug Evaled on,luo Evaled on,yor Evaled on,swa Evaled on,kin Evaled on,wol Evaled on,ibo Evaled on,pcm Evaled on
hau (NER finetune lang),95.0,28.6,53.0,25.0,51.8,75.6,55.4,21.4,41.2,72.2
luo (NER finetune lang),62.0,14.2,51.2,80.4,46.2,67.6,44.0,47.4,43.8,60.2
lug (NER finetune lang),71.2,21.0,80.6,33.6,62.2,78.2,57.0,50.0,33.4,66.6
ibo (NER finetune lang),72.0,34.0,53.6,24.8,60.2,78.2,53.0,28.4,89.2,76.0
pcm (NER finetune lang),78.4,29.8,56.2,23.8,43.6,81.4,66.2,27.8,27.8,86.6
swa (NER finetune lang),77.6,22.0,52.8,27.8,48.0,92.4,53.6,10.8,26.0,71.6
yor (NER finetune lang),75.0,25.8,47.4,22.4,86.0,76.0,54.6,24.8,38.0,71.8
amh (NER finetune lang),56.8,80.6,38.6,16.8,35.8,52.4,34.6,11.4,27.0,59.6
wol (NER finetune lang),72.4,18.2,47.2,18.4,47.8,71.0,54.4,83.2,37.8,59.2
kin (NER finetune lang),71.6,24.6,61.6,22.8,43.6,80.4,78.2,38.6,29.4,69.8
